"Created Date","Order ID","Query Class","Query Category","Product Name","SKU","Batch Number","Delivery Partner","Month","Week","Source"
"8/23/2026","HYP42063300","Product","Others","Brightening Moisturizer with 20% Kakadu Plum (Vit C) - 50 ml","HYPMUBX032F050","","","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP42250840","Product","Reacted-Acne/Pimples","Fluid Cooling Sunscreen SPF50 PA++++ - 50ml","HYPMUBX043F050","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/24/2026","HYP43671980","Product","Reacted-Acne/Pimples","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","ElasticRun","8_Aug'26","8_Aug Week 4","whatsapp"
"8/24/2026","HYP40026960","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","Shadowfax","8_Aug'26","8_Aug Week 4","liveChat"
"8/22/2026","ECOMMERCE","Product","Reacted-Acne/Pimples","","","","","8_Aug'26","8_Aug Week 4","email"
"8/24/2026","HYP43582070","Product","Reacted-Acne/Pimples","ALL I NEED SUNSCREEN SPF50 PA++++ | BRIGHTENS WITH NIACINAMIDE","HYPMUBX004F050","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/24/2026","HYP43271110","Product","Reacted-Acne/Pimples","10% Vit C Serum with 1% Vit E & Ferulic Acid | Clinically Tested","HYPMUBX045F020","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP41320690","Product","Product not Effective","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/24/2026","HYP43620140","Product","Product not Effective","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","","DELHIVERY","8_Aug'26","8_Aug Week 4","whatsapp"
"8/22/2026","HYP43417380","Product","Reacted-Skin Irritation","10% Vit C Serum with 1% Vit E & Ferulic Acid | Clinically Tested","HYPMUBX045F020","","Shadowfax","8_Aug'26","8_Aug Week 4","email"
"8/22/2026","HYP42176920","Product","Reacted-Acne/Pimples","Dual phase de-pigmentation serum | 4% tranexamic acid","HYPMUBX0046F0030","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/23/2026","HYP41906930","Product","Reacted-Skin Irritation","Clarifying Acne Cleanser with 2% Salicylic Acid - 100 ml","HYPMUBX012F100","","Shadowfax","8_Aug'26","8_Aug Week 4","whatsapp"
"8/24/2026","HYP43083330","Product","Reacted-Acne/Pimples","DOUBLE SHOT FACE SERUM - 50ML","HYPMUBX038F050","fc26d038","Blue Dart","8_Aug'26","8_Aug Week 4","whatsapp"
